866 615
162 193 3
310 749 3
760 855 3
243 649 2
656 721 2
667 821 3
266 453 3
269 601 3
446 478 3
63 144 1
47 555 2
318 417 2
587 629 3
866 866 1
790 801 1
563 850 3
486 605 3
632 820 1
145 329 2
5 515 1
72 587 3
206 461 1
811 846 3
472 584 2
499 594 1
668 689 2
122 768 2
420 686 1
266 427 2
548 829 3
820 854 3
737 796 2
708 740 2
773 779 3
214 539 2
670 734 2
327 630 3
382 715 1
572 812 2
383 700 2
351 697 3
389 558 2
100 504 3
572 680 2
809 811 2
749 834 1
106 482 1
315 731 2
225 333 2
265 498 1
12 132 1
397 683 2
796 818 3
114 405 1
124 247 1
693 827 1
444 855 3
147 670 2
234 616 1
735 750 1
688 806 1
640 704 2
733 827 2
495 684 3
765 845 2
478 692 2
404 641 2
818 829 3
679 766 3
707 864 1
116 625 2
426 806 1
525 799 3
167 787 2
204 668 2
722 828 2
201 732 2
490 847 1
557 690 3
40 411 3
405 672 2
758 815 3
133 464 3
360 422 3
229 612 2
805 846 3
391 640 3
218 507 1
