8265 8269
5774 7847 1
6852 7775 1
5014 7673 2
8209 8222 3
7002 7182 3
993 3134 3
6914 7886 1
785 6823 2
5452 7314 2
6951 7524 2
2221 5600 3
7305 7843 1
4373 7701 1
383 1889 1
8226 8251 1
3447 7531 2
2898 3166 3
2457 2771 3
6372 6645 3
6688 8027 2
7216 7719 1
6415 8181 2
1159 2267 1
4238 6692 2
143 3394 3
5089 7369 3
73 7769 1
5819 6722 3
3314 6912 2
4585 4706 1
4807 6519 3
3931 5125 1
7604 7657 3
5703 5953 3
2743 3202 1
483 2843 1
6148 7390 2
2008 5042 2
5159 5692 3
6663 7668 3
7501 8195 1
2810 7985 1
8057 8240 3
8081 8135 1
1221 1855 3
6785 7428 2
5434 7127 3
2870 5273 3
4218 7720 3
403 3947 2
3529 8086 2
1619 6652 3
2539 4705 2
541 585 3
5220 6578 2
437 3795 2
4057 7870 1
7805 8040 1
5713 7745 2
1517 7713 3
4264 6581 3
1839 2287 1
4875 6115 2
3344 4849 2
5067 7371 3
3594 4672 1
2230 2597 3
5034 6433 2
6562 7453 2
6173 7931 3
59 2480 3
1610 1634 2
3288 7350 1
2405 6408 1
4158 6379 1
1378 4522 2
1058 3121 2
3921 5829 2
7194 7548 2
6344 7760 1
3724 4713 2
604 4644 2
5181 6082 1
1882 6025 3
4047 4514 1
1659 6394 2
3027 7021 3
4889 5556 3
902 4644 2
5630 7236 1
7820 7943 2
342 2635 2
8246 8256 3
1128 7319 1
818 1785 2
2172 8186 3
2185 3651 1
1025 7181 1
4845 6944 1
5761 6103 1
6137 7278 3
3785 5436 3
2903 6890 1
6087 8163 3
3808 8176 2
2372 4437 2
3425 7660 2
401 7757 3
7649 7886 1
3265 6243 1
498 2697 3
3182 3557 2
502 1548 1
655 5268 1
3404 7976 1
932 1434 3
6805 7390 1
5161 8157 1
355 2831 3
4954 5218 2
67 867 3
7827 8111 3
3847 8209 2
8084 8118 3
4726 5302 2
5402 5596 3
5572 7789 1
5352 7236 3
3779 5179 3
7501 7528 3
567 5082 1
2285 6052 3
2805 5137 3
2601 2986 2
8057 8208 3
8127 8224 1
1655 7479 1
2980 3116 3
6352 6544 3
1633 2069 1
129 2112 2
2445 7597 1
4036 6407 1
7029 8133 2
2206 4224 3
3320 7627 2
7493 8054 1
2570 5977 3
4590 4961 1
1306 6188 3
6767 8215 3
3209 4761 1
5384 8153 1
5777 7773 1
909 5685 3
4790 6344 1
8046 8135 3
8162 8205 2
6926 7888 3
6567 7048 1
539 6865 3
281 2638 2
583 7750 1
625 824 2
6365 6484 2
723 7902 1
3125 4620 2
3945 4160 3
5234 6050 3
4138 4183 3
4573 7457 3
5957 6290 1
6300 7071 3
5716 7768 1
7889 8052 2
3140 3367 1
1781 5724 2
1850 6868 1
8254 8261 3
3395 6810 3
2900 4344 1
2118 6932 1
6009 6375 2
7997 8139 1
240 7829 2
3782 8106 1
7144 7462 3
6215 7857 2
5774 6803 2
1528 6190 1
410 1430 1
7435 7629 2
6725 6762 1
3661 7085 2
4962 5144 1
1091 3330 3
2005 5240 2
7045 7535 3
6381 7823 3
6470 7361 1
236 2518 2
1864 6273 2
1689 3001 3
1329 5769 2
2276 4380 1
7913 7977 3
76 876 1
3965 8244 3
7878 8175 1
2369 4197 3
7439 8026 1
8069 8166 3
2162 4551 2
5472 5631 2
8094 8180 2
5304 7241 3
2261 4109 3
4405 4592 1
5499 5853 2
7829 7909 1
875 1229 2
2921 3650 1
1543 7311 2
7130 7361 1
5001 8250 2
6265 8067 2
6994 7599 1
7376 8236 1
7408 8097 3
7395 7568 3
7821 7963 1
7263 7784 3
8142 8226 1
4871 6942 3
4350 8214 1
423 450 2
2563 4751 2
1129 6046 2
5118 7517 3
1273 3878 2
797 3710 1
5994 8018 1
3274 4788 1
6581 8201 1
6080 7839 1
2381 7491 3
1171 1241 1
4910 6125 3
5557 7791 3
1204 7423 2
5764 6454 2
3969 8005 3
5110 6039 2
1794 7481 3
7432 8055 1
2371 5270 1
1920 5150 3
1229 2264 2
1933 7096 2
6804 7301 2
3501 7566 3
6668 7468 2
653 6639 3
6063 7695 2
804 2729 3
5299 5673 2
5368 6918 3
4573 5548 1
4296 6785 2
6082 7005 3
681 4133 3
1873 2164 1
5283 7025 2
5215 7306 1
712 5345 2
3355 4701 3
5161 5954 1
5721 5822 1
2371 3087 2
6147 6575 2
1937 4466 1
7921 8177 1
2373 2422 2
1877 7813 1
416 7668 2
5605 7844 3
3617 6575 1
2486 7825 1
1342 3913 1
4883 7080 3
6289 7132 3
7552 8155 3
4021 5584 1
2213 7965 3
2343 3782 3
4199 5708 2
1094 4412 1
5288 7782 2
1484 1826 3
1822 4535 2
1092 3864 1
6204 7596 2
7206 7617 3
1956 7759 1
4712 5004 3
3116 6026 1
6616 7190 1
4156 6560 3
6525 6964 3
737 7593 1
1037 4211 1
990 6694 3
1942 2959 1
5838 7469 1
7946 8165 1
7358 7755 2
3247 6574 1
3076 7694 1
3835 5152 1
1309 5428 2
5854 7743 3
2647 2716 3
8170 8237 3
6365 7049 2
2792 7737 2
2745 2766 3
3341 7331 3
5260 5976 2
2050 7994 2
4142 5471 2
412 665 2
7788 8141 1
8140 8232 1
2599 4337 1
3376 7100 2
1711 6889 3
77 6796 3
912 1029 3
5363 7910 3
6325 6644 1
5736 6918 3
8227 8234 3
5170 5579 3
6215 6245 2
8223 8257 2
7365 8161 1
5242 7717 2
5088 8251 1
6931 7608 2
4972 5429 2
7666 8131 2
741 4832 2
295 3626 1
2564 6680 1
3686 8205 2
3973 7890 3
6593 7939 2
3260 4027 1
6192 7382 2
5127 6657 2
6872 6959 1
7797 8191 2
744 3894 1
93 7388 3
5861 7555 3
1381 5264 3
7781 8053 1
5922 5964 3
970 1322 3
51 6283 2
3632 5625 3
953 4575 2
4425 7272 2
4127 4951 2
4134 4888 2
5446 5778 2
52 2661 1
105 4142 2
7479 7823 1
2005 3464 3
2396 7592 3
1268 8083 2
6377 7374 1
1804 4955 2
6549 6829 2
2481 2846 2
4328 4455 3
5619 6848 1
1373 6305 1
2844 6855 1
2003 7563 1
7078 7969 2
2585 3629 3
7535 8155 3
7796 8148 1
5226 7776 3
6063 6149 1
6860 7479 3
2272 6046 1
6367 6454 1
8155 8158 2
5984 7781 3
8101 8113 2
4166 5646 2
6009 6255 1
4376 5185 1
483 3078 2
5917 7235 1
5339 6501 3
6958 7194 2
2990 3090 3
4320 4972 2
3528 6408 3
5766 5981 2
567 4481 3
1389 3611 3
2475 4414 2
2397 5496 1
5940 7292 3
6229 8087 3
3812 4101 3
2621 6638 3
4798 5846 1
6293 7431 2
568 2849 3
3803 6343 1
6293 7577 2
2582 6194 2
1472 3552 2
501 3892 1
4380 7410 1
5053 6457 1
5273 6119 1
7883 8176 3
5665 6754 2
2859 6753 2
2955 7574 2
3365 5816 1
433 4963 2
862 7796 2
1844 2567 3
632 6349 2
8190 8213 1
360 6965 1
8258 8260 2
2178 6065 3
2987 6450 2
5022 8153 1
7397 7534 3
7604 7848 1
1608 6427 3
1368 3265 1
3077 5185 3
3682 8164 1
7975 8248 1
369 3534 3
3199 5051 3
1451 5438 1
6579 7943 3
6903 7187 1
4907 8231 1
7117 7387 1
1916 1981 3
5569 6760 3
10 2637 2
6798 7810 3
6448 7405 1
5332 6853 1
4495 5223 3
2149 5939 1
6639 7927 3
1809 7614 2
1598 7488 2
4609 6750 1
2644 6537 2
6763 7405 3
2737 7805 3
5782 8226 2
4835 7331 1
5742 6392 2
3891 8184 2
1378 3979 1
3809 4213 2
6950 8143 3
7721 7733 3
6498 7136 3
3086 4743 2
5642 8126 3
5373 6995 1
6376 7127 2
5151 5218 3
8009 8263 3
5298 5912 1
2037 3804 2
3055 7191 3
6358 7483 2
7626 8242 3
7515 7541 1
3380 7119 2
3595 6792 1
6190 7342 2
4788 7115 2
159 4504 1
5571 8137 3
6194 7218 2
6274 8104 1
2597 8202 3
3427 4316 3
6100 7694 2
7205 7586 3
3131 7149 1
7345 7408 2
255 8195 1
2479 3051 3
4109 5631 3
1176 2940 3
1190 4212 2
5257 7847 2
3758 6863 1
7712 7745 3
1939 6163 3
5557 6185 2
2542 5594 3
4863 8202 2
2170 6439 1
8025 8226 1
1316 5976 3
3131 7662 3
2255 3410 1
7295 7297 2
5446 7372 2
7361 7725 1
1246 8253 3
7408 7535 3
2928 5483 2
7363 8192 3
480 7537 1
3554 5468 2
516 815 3
1674 7260 2
7457 7752 1
579 2388 1
5498 7963 2
8006 8060 1
5507 6641 3
279 5051 1
4000 4465 2
7100 7324 2
326 5243 3
29 596 3
905 2974 1
816 7411 2
1890 1953 1
2379 3150 1
7782 7910 1
194 1829 1
6949 7509 2
6783 8020 1
4544 4888 3
74 2523 3
4174 6451 2
5190 8200 3
3702 7657 1
5934 7671 1
7214 8075 2
4207 6776 1
1319 8114 1
2194 6116 3
6161 8245 3
2650 5658 2
541 6112 2
5136 7568 2
4637 6915 3
495 3754 2
7988 7990 1
3127 5722 1
5231 8012 1
8101 8157 1
751 2882 1
2324 7852 1
1449 1861 2
6883 8101 3
6393 7200 1
440 5323 3
2848 4162 2
3871 6212 3
3479 7769 3
3715 5014 3
3618 7958 3
7593 7613 2
2270 3913 3
4933 6298 3
3458 6975 3
6695 7561 2
4303 5762 1
108 5380 3
7833 8003 1
2243 3763 2
1996 3361 3
7700 8030 2
5975 7563 2
4475 6457 1
6812 7542 3
933 6415 3
5003 6086 1
1000 6973 2
4701 6604 2
3859 4811 2
4307 7655 1
7874 8012 3
7543 7690 1
3661 6974 2
3003 4911 2
1928 4003 3
5180 7271 3
4096 6957 3
3445 3948 3
6378 7726 3
4282 5077 2
1011 3202 1
2301 6522 2
5844 5905 3
1727 2079 1
4919 7568 2
5563 7097 1
3178 3745 1
1866 5509 3
7803 8219 1
6936 7045 2
2296 4616 3
1741 2832 2
4161 4701 3
2034 7591 1
2921 5964 1
4753 6998 2
6359 8241 3
7243 7494 1
7897 7996 2
6298 7086 3
3796 7946 1
4593 7813 2
2334 3357 2
4153 4966 3
166 2563 1
1507 5055 1
5154 6038 2
1684 4743 1
4657 6378 1
4464 5778 3
4249 6790 1
101 3400 1
2709 6344 2
5845 7595 3
8063 8124 1
8105 8141 1
7430 7587 1
4569 6106 1
3294 7423 1
4286 4603 3
5813 6338 3
4305 4554 1
1877 2723 3
3435 4708 2
3193 6323 3
212 1764 3
1287 8131 1
5679 6471 1
6108 6280 3
3494 4755 1
6341 6781 2
4445 6827 1
2006 3677 1
2902 7659 3
4378 5351 2
7226 7380 1
7211 8155 1
3018 6991 1
5088 5554 2
6268 6533 2
763 2493 2
5875 6556 1
1775 5554 3
475 7446 3
7886 7920 2
2423 4435 3
2533 4845 1
6952 7159 3
3378 6973 2
6803 8106 2
2089 6877 1
3157 4916 2
7333 8020 2
2830 5745 2
63 3770 2
7754 7805 1
2123 4842 2
2842 6689 1
7908 7962 1
1241 8098 2
2559 8015 2
6838 6929 1
1144 5351 3
5089 5175 1
6514 8151 3
3527 7314 3
4323 7362 2
7634 7881 3
4571 5082 1
2944 6836 3
5220 5439 3
1278 8107 1
1840 7220 2
5008 7518 2
4297 6747 3
3666 3788 3
6580 7364 1
6967 7917 3
955 2479 1
3185 4872 3
1529 2088 3
7951 8139 3
44 5155 2
5881 8137 3
2562 4439 3
4820 5495 2
1275 5104 1
6719 7425 2
6319 6774 2
6586 7639 3
8200 8248 2
2586 5580 2
3552 4286 1
5007 7513 1
4437 6048 3
674 3208 1
58 5592 2
2247 4510 1
7847 8028 1
3326 3659 3
6443 6738 1
7367 7414 1
18 5730 3
7249 7666 1
1687 5106 1
6526 7694 2
7074 7598 3
4947 7860 1
4958 6655 3
1934 6439 1
4252 7090 3
7763 7939 1
2567 2944 2
3654 6972 3
7557 7952 1
5877 7486 3
6927 7218 3
4467 8152 2
7256 7944 2
5313 6946 3
7380 8030 3
2384 3286 1
3367 8113 2
6504 7632 3
245 3510 3
5823 6752 3
2828 8000 1
5813 8079 2
2310 6843 1
2312 6305 3
6102 6845 1
1101 1906 2
4730 6061 1
6258 6547 2
3711 6647 1
7141 7484 1
6669 8212 3
1661 7832 3
4061 5065 2
6180 6357 2
5521 7924 2
6583 6618 3
901 6531 3
2352 6003 3
7060 7112 1
5137 6922 3
2777 8212 1
2553 7511 3
7180 8265 1
6478 7768 2
3696 5170 2
103 6266 3
2550 2675 3
5356 6630 3
3803 7338 1
4467 6123 3
89 6833 2
6976 7059 3
7711 8223 1
4723 7830 2
5096 7934 2
3788 8074 2
711 5032 2
5436 5955 3
5678 7397 3
5020 7706 3
3655 5653 2
4600 4851 2
1075 2868 2
1581 3472 3
2973 4788 1
5099 6699 1
4886 7479 1
7451 7926 3
523 4489 2
1489 2910 1
2362 7693 1
8176 8197 3
3497 3940 2
1588 3347 2
6961 7560 3
7417 7968 2
6035 8031 2
6461 6545 3
364 2594 1
858 1864 3
1165 4065 1
6106 7499 3
4224 4439 1
6119 7981 2
6682 8090 3
1981 5332 3
6574 7160 2
5044 6816 1
2030 4184 3
8214 8262 1
2951 6416 2
5688 5706 3
1300 2669 3
7816 8074 2
1055 3128 2
2540 7425 2
5679 6915 1
4505 7626 3
5748 6166 3
5435 6985 2
6643 6882 2
145 5091 1
3514 7201 2
939 6447 3
5648 7811 3
7258 8035 3
1451 4269 2
4350 4868 3
1467 7501 1
6577 6600 3
1230 3539 2
6515 8090 3
1815 6395 2
6089 6242 2
7034 7492 1
3692 4030 3
5170 5190 2
4261 8141 3
3976 7533 3
2638 3356 3
3118 7021 2
7779 8052 3
7988 8030 1
1877 8254 3
7369 7920 1
7740 8173 2
5739 6063 2
8161 8259 2
6150 7765 3
2377 7724 3
4145 5950 1
7880 8202 3
6327 6415 3
1259 7995 1
524 4495 1
1607 1642 3
4576 8163 3
728 1911 1
5047 5202 1
376 3377 2
5972 7896 3
6301 7879 3
7451 7833 3
3084 3633 1
4230 4942 3
7529 7846 1
432 4747 1
3405 5560 1
7064 7583 1
4123 4162 2
7152 7259 1
2712 3562 1
4733 7208 3
4712 8017 3
1781 4372 3
3845 3981 1
478 7999 3
4295 6604 1
7709 7835 3
2738 3947 1
5386 7850 1
263 6621 3
5573 6551 1
5904 7215 1
2419 5168 3
2198 2349 1
5757 7760 2
4441 6149 3
2427 3373 3
3900 4788 1
2398 4752 3
4189 5793 3
5673 5997 3
7997 8022 1
6218 7472 2
5249 5620 3
7788 8221 2
2882 5806 1
6252 6461 1
17 4160 3
7560 7948 1
2959 5454 2
2102 2400 2
2300 3823 3
305 5010 1
2092 2307 3
440 6823 2
2066 7366 1
7011 7179 3
2949 3177 2
1306 6525 3
6454 7878 3
7225 7884 3
1265 1621 3
5304 6095 3
1194 5188 3
1230 5238 2
8049 8210 2
443 6508 3
260 6624 2
5359 7546 2
4184 5054 3
8137 8172 3
5036 7066 3
3476 5218 1
6143 7333 2
5066 6313 2
1430 6633 3
3656 7869 1
4012 8114 1
1180 2561 3
7647 7853 3
2561 4938 3
3211 7747 3
7805 8137 2
3542 8096 3
141 4509 3
3078 6245 3
869 6821 3
5407 7926 2
483 3069 2
6082 7645 2
347 2490 1
5096 7796 3
2921 4175 2
3993 6090 2
3684 3981 2
3204 4300 3
1679 2048 2
3238 7900 3
3539 7696 1
3718 6294 2
4396 4516 2
6247 8126 2
7751 7914 3
2989 5036 3
1034 4760 2
5280 6863 3
7320 8041 3
3251 3705 3
7126 8075 1
7398 8144 1
2000 7737 2
11 7565 3
2311 5936 2
7434 7855 1
2387 7463 2
295 3100 2
692 1631 2
7386 7846 3
5592 6356 1
714 3439 3
6321 7925 2
6500 6680 3
4337 5837 3
5705 7058 3
944 3556 3
4774 7783 1
6947 7881 2
850 7547 3
3561 5215 2
4791 5728 1
7939 8077 2
1560 2666 1
1250 1280 2
685 716 1
302 6603 1
8150 8150 3
6339 7498 1
188 2679 1
4277 6641 2
1367 4368 1
645 7994 1
3631 5470 3
5366 8211 1
8185 8231 2
1223 5307 1
2234 5968 1
4153 5966 1
2750 6443 1
3117 7342 2
7627 7891 3
5321 6741 3
3793 7009 1
1194 3223 1
1679 8248 1
5413 6231 3
6510 6763 3
2197 4717 1
838 5447 3
2958 5120 2
2222 5119 3
4338 5843 3
6840 8072 3
1968 7111 1
1914 7607 1
2914 3093 2
7887 7975 3
3734 7012 2
6816 8206 3
1568 4763 1
6386 7762 1
802 7383 2
4665 7958 2
2330 4673 2
5519 6464 1
3892 5408 2
6297 8222 3
6780 8010 3
6243 7514 2
5011 7128 3
6572 7055 3
4688 6010 1
6989 7941 1
880 3915 3
5711 6294 1
6936 7306 2
3084 3094 2
7471 7822 1
1049 6727 2
7325 8079 2
1550 2515 3
1999 2439 1
821 7940 1
5827 6137 2
5127 6791 3
4433 8014 3
3537 4217 1
4458 4953 1
4498 8027 3
6170 7376 3
4391 6024 2
7408 7781 3
1001 7192 2
2502 4568 3
3618 4329 2
3595 5579 1
5709 7572 2
5947 6710 1
4469 6473 1
1759 4477 3
1810 6376 3
6253 6300 2
1265 4057 1
6573 8052 3
6798 7401 1
6709 8005 1
6966 8251 2
1934 3198 3
5265 6593 3
2883 6397 1
7223 7374 2
6866 7092 2
3897 5152 2
1905 7593 3
3418 5270 2
3313 7270 2
527 4776 2
756 3173 1
3098 8200 1
1304 3199 2
5383 6605 2
2327 4156 1
5193 5815 1
96 2520 3
7439 7531 2
6591 6633 3
3755 6524 1
765 6653 2
2287 2672 3
1356 7272 2
6068 8117 2
4543 6800 3
6582 7811 2
81 4127 1
4219 4597 3
1750 3842 3
4735 7658 3
442 3344 1
4276 7411 1
6738 7176 3
2978 6855 3
4599 7384 2
3762 8202 2
2210 7064 1
2662 7645 3
1707 5137 2
5329 6378 2
2528 7420 3
2402 6667 2
6169 6741 3
796 7581 1
503 4470 3
2581 6481 1
6094 7100 1
754 2928 2
4072 5110 3
3765 4812 2
3030 4177 3
7560 7568 1
3984 8250 1
8002 8044 3
289 6143 2
3259 6971 1
1950 3879 3
7398 7676 2
3435 5299 1
522 4862 1
844 6117 1
5425 6819 2
7735 7993 3
803 6398 1
7079 8003 3
2933 5488 1
2069 5486 3
6402 7819 2
4042 8054 2
3869 6958 1
2049 4308 3
1485 2627 1
4189 5066 3
4768 5267 2
7804 7954 1
1357 2857 3
1220 5943 1
4859 7000 1
6112 6609 3
3383 4570 2
5754 8163 2
3392 4264 3
1183 1318 2
2072 5525 3
2163 7389 1
3412 4906 2
3170 3985 3
5664 6235 1
4653 6352 1
1315 8250 2
6560 7911 3
6157 7954 1
1086 2353 2
5402 5439 2
7731 8209 3
4691 6254 3
4066 5131 2
6554 7729 1
6688 8060 1
6015 6810 2
5975 6833 3
5199 5366 3
2973 7276 1
1016 3395 1
6850 7136 2
4441 7995 1
1117 6075 2
8189 8236 2
7429 8006 2
2091 7756 3
7202 8149 1
2643 3938 2
5261 5296 2
635 6054 2
6710 7588 3
6142 8078 1
6764 7507 2
4378 7351 3
432 4569 1
626 4492 2
3814 3888 2
4148 6896 2
7653 8117 2
939 3112 2
1236 4174 1
7492 7694 2
5497 5797 1
3917 4425 3
7140 7452 1
8013 8199 1
3339 7608 3
6638 7800 1
1645 5673 3
5566 6316 2
681 7292 1
4940 6122 3
7296 7917 3
6079 7415 3
5131 6615 3
6833 6863 2
1175 7475 1
5722 8248 2
2466 4133 3
7304 7804 3
6890 8076 3
1670 4014 1
2455 4359 3
4254 4835 3
4317 6272 2
2529 4442 2
464 3022 3
1618 7746 1
5874 6482 3
3449 7221 3
1424 4021 1
4284 5575 3
7494 7980 2
822 7704 2
5635 8167 2
8172 8179 2
3488 4922 1
1084 7297 2
4326 8222 2
5147 6366 3
7999 8201 1
2485 3597 1
6398 7212 1
5345 6053 1
1342 1460 1
569 4181 1
2427 6219 2
414 4283 1
3179 7167 2
228 4536 1
5837 7020 2
3762 7458 2
6783 8071 2
1627 7981 2
3678 4566 1
130 6834 3
6880 8242 3
6477 6503 3
7272 7451 3
3093 5449 2
7441 7962 2
7943 8082 2
7403 7432 3
19 5789 2
215 748 2
3456 4621 3
1890 5745 1
419 3701 1
2443 7689 3
6870 8182 1
3489 5787 2
8 1783 3
3725 5616 3
6149 6321 1
755 1831 3
5457 6221 2
2520 4105 2
6095 6214 1
8252 8262 3
6846 8057 3
1624 3742 1
5713 7093 3
1198 2705 1
1978 2667 1
7247 7750 3
3434 4316 2
2769 6532 1
4656 5271 3
7301 7359 3
4567 7655 2
5780 6467 3
1752 5917 3
2449 4693 1
7308 7918 2
4208 5634 3
7261 7349 3
922 2409 1
279 3580 2
3091 6202 2
1619 1701 3
60 6122 2
686 4791 3
7349 7553 2
5567 5838 2
6984 8128 3
3553 5522 1
4639 5969 2
516 3213 3
3793 7178 1
4403 8256 2
6012 6301 3
432 5946 1
3091 3875 2
1498 3703 1
2752 6566 2
5079 5992 2
3672 3908 1
908 2891 3
1352 7055 1
6677 7552 1
6584 8108 3
3295 3588 1
6530 7311 3
7832 7953 3
4459 5761 2
7444 7601 3
2418 5697 3
455 4032 2
921 3106 3
3672 6317 3
3645 5634 3
4978 6480 3
1097 1185 3
5050 7311 2
7410 7796 1
4572 5784 1
2396 4651 1
6365 7490 3
4814 5434 1
5181 5786 1
5348 8022 3
1421 6797 1
1404 1936 3
4371 4865 1
1814 3136 3
1063 7209 2
2846 7109 2
3964 6768 2
3318 7627 3
6444 7846 3
5431 6405 1
3259 6006 3
3408 7971 3
3939 7549 3
7623 7723 3
1018 2141 2
7559 8015 2
3258 4320 1
1155 5066 3
6537 6645 3
1914 7432 2
8028 8150 3
1343 6498 2
3371 6053 3
8071 8102 1
3946 4145 1
4722 4880 1
4198 6575 3
4703 7863 1
4600 5486 1
5409 5508 1
2783 6223 2
2997 5665 1
1536 4074 2
5363 6490 1
3387 6255 3
5851 8119 3
4300 7944 2
409 5807 2
6499 8243 3
3452 7740 1
3070 6599 2
3805 5873 3
5680 5900 2
285 6583 3
5529 6552 1
2004 6938 3
479 8048 1
3599 7489 1
4813 7656 2
5947 6588 3
2492 8089 1
3344 4430 1
2179 6646 2
1046 4149 3
3193 8205 3
8002 8203 2
412 5304 3
3949 7080 3
1934 6510 1
3115 5678 3
7329 7634 3
4996 6520 1
4873 7101 1
2476 3517 3
6078 6196 3
6151 7871 3
43 791 2
1265 7859 2
4393 6086 3
4778 5633 2
4002 6567 2
698 3852 3
5319 7458 3
2774 3843 1
3262 3949 2
3953 4836 3
2015 7947 1
2736 5610 3
252 3856 2
5143 5378 3
1779 2257 2
6988 7998 2
6507 8034 2
5355 6610 2
4429 5763 2
5136 7098 3
85 2222 3
483 4705 3
5747 8135 2
3368 5888 3
7247 7490 3
2891 7590 1
7737 7978 1
743 6897 1
7142 7680 1
7838 8005 1
7667 7865 3
4564 6011 1
722 5684 1
656 2540 1
5567 6465 3
3462 6278 1
1798 6731 1
1862 2259 1
4781 4948 2
3387 7317 1
512 4103 1
3889 5756 2
1066 4331 1
1691 6189 2
545 973 3
3989 5268 1
7860 7928 3
1479 5635 2
1020 3776 2
1324 7609 3
7709 8030 1
3784 5500 1
7265 8035 1
5993 6633 1
1305 2679 1
3742 3766 2
588 4841 3
1622 6495 1
2900 4702 1
2328 7041 3
6462 7936 2
4518 4897 2
5831 6961 3
7096 7370 1
1479 4350 1
1085 7820 3
4428 7137 3
3398 5687 2
2871 3671 1
658 5498 2
4116 4967 1
1968 3913 2
1353 3717 3
1606 3680 2
3691 7423 3
1600 7244 1
6269 7938 1
5617 5696 3
1621 2840 3
2876 6469 3
427 5557 2
2316 3738 2
8074 8200 2
6258 7725 2
200 714 1
6473 6998 1
3957 5664 1
6129 6584 2
1064 4888 3
6098 7627 3
4191 6085 3
1293 3457 2
2925 4073 2
2441 3907 3
893 1367 1
5613 7465 2
6777 7280 2
6149 7341 1
2953 5223 2
7562 8192 3
1365 8206 2
1592 4579 2
