88095 98148
8746 22407 3
76683 80905 3
63069 65384 3
19191 34582 2
16596 65414 3
16930 63299 1
28288 66447 2
20617 85810 2
43960 56275 2
66645 69413 1
29063 85608 3
1580 16574 1
6972 10422 1
80042 82409 2
6150 44450 2
42971 77117 1
373 12123 3
3763 27710 2
81960 83874 3
69604 80288 2
50580 61160 1
77511 78728 3
4779 71404 3
39435 54187 3
64623 68053 3
6443 77019 1
58891 69949 2
48359 54376 1
1535 83754 1
21169 38517 1
63253 65283 1
45107 52853 3
78786 84495 2
12117 38734 2
66528 67113 2
48953 53474 1
11039 43653 3
57285 58918 1
86238 86309 1
10705 36837 3
86590 87842 1
28864 39876 1
44032 80651 1
72117 73971 1
43517 57705 3
21205 21803 3
27040 38232 3
77169 84898 1
75027 76576 3
84965 87435 2
7239 12858 1
3151 81653 1
34567 56265 3
45920 63221 1
19405 77554 2
47659 87365 2
63872 82694 1
55723 69644 1
10967 31114 3
54829 58656 2
85236 87696 2
1665 85961 2
67857 69533 1
4679 49436 3
68849 81895 1
22231 63794 1
74523 78253 2
72937 84260 1
9668 52116 3
67990 87788 1
53165 79639 2
79964 81487 2
11691 75136 2
5126 27992 1
49737 87677 2
65969 85112 2
53352 65319 2
69397 81378 3
6707 7208 2
29188 45634 2
49938 50519 2
19012 72638 1
10993 48755 3
54117 61879 1
70961 80514 1
24952 31187 1
76141 80954 2
53649 58207 3
75344 83195 2
74984 82455 2
18348 67977 3
1929 80712 2
27152 59884 1
73511 87120 1
63072 78863 2
74717 77063 2
3109 44000 3
28175 31242 1
27670 58510 1
1735 78684 1
46327 87202 3
28356 38552 1
30537 42489 1
67344 84818 1
40195 59389 1
57133 74782 1
58635 59462 3
24461 25755 1
16944 51624 3
66820 71686 1
33059 85998 3
70321 83236 2
6008 53791 1
52736 70171 1
71411 71913 2
20493 61010 2
84516 86675 2
14268 22831 1
75174 82452 2
55940 84959 1
41792 68706 3
24803 71854 2
56713 74205 3
74396 79090 3
45885 62972 2
52100 81615 2
54900 55723 3
69429 71420 1
72190 75137 1
48722 56156 2
44269 61155 1
71815 86880 3
34572 74379 3
59312 77217 2
20807 58448 3
37276 49690 3
66669 66963 3
26241 55693 2
33928 49769 2
68030 84206 2
62222 72729 3
38112 58581 1
1514 46298 1
53562 74918 1
55837 75154 1
54637 71800 3
27999 86923 1
84608 87457 1
50569 52496 3
16580 59326 2
82736 86404 1
43179 46694 3
66472 75980 1
73272 74738 2
42823 57564 2
38073 40470 2
18611 45324 2
67293 75293 2
30394 52437 1
69571 72202 3
62783 76968 3
19293 35254 3
43647 78752 1
23423 84496 3
62955 83644 1
49164 82195 1
36920 55614 2
2595 44755 1
9337 24427 3
60398 87578 3
21407 51408 1
39495 63600 3
80347 85880 3
11778 83782 2
7934 34755 3
32776 68906 2
75598 84897 2
61693 80934 2
55276 73258 3
63989 69397 2
24686 26903 3
38812 87352 1
33010 34872 1
13811 87956 1
26279 30208 2
69362 73777 2
76890 87516 1
68594 82378 1
66772 83157 2
81566 83410 3
58666 81186 2
36448 65659 2
11237 58451 1
31197 58403 3
38782 51759 2
36591 75316 1
66888 82454 1
33373 77068 1
74976 87039 3
60559 83786 3
65091 71789 3
17556 39290 1
57711 69114 2
54200 80189 1
41424 50292 2
76917 83050 2
80572 83833 1
54166 67276 1
58715 71569 1
79193 84274 3
61254 67922 3
38774 43151 3
38193 58733 1
3696 69903 2
25355 39419 2
39368 54792 2
27818 49217 2
23410 77736 1
73532 81245 1
22654 33625 2
54062 56320 3
37060 72385 1
81673 85766 1
83026 85307 1
80634 87469 3
77510 84566 3
3523 11683 2
41739 66354 3
28416 53445 2
8099 73597 2
82458 84524 1
29836 46356 1
71841 72409 2
58552 77764 1
28718 78434 1
77592 87606 2
83314 87124 3
2563 65263 1
23215 61096 2
30022 85978 1
19722 78024 1
77652 81795 2
2974 60988 2
35996 85828 2
1653 18642 3
66009 85561 1
76284 82627 2
22551 45461 3
12571 61107 2
29311 80247 2
74690 85713 2
54758 63794 3
31700 38176 3
4813 57389 2
66781 76137 3
4910 43786 2
24836 36826 2
72742 81010 2
65027 84675 1
10911 43123 2
54975 63097 3
81491 87968 1
79155 80449 1
1475 36105 1
32069 66585 2
32355 37296 2
51029 65005 1
74617 78707 2
34352 69570 3
31212 79421 1
50612 86529 1
32652 76750 3
55865 82453 1
35501 76925 3
66127 85059 1
78890 78902 2
52994 54905 2
23372 87050 2
70261 71595 2
64596 76726 2
34801 37258 2
87987 88091 2
47802 62417 2
52547 78773 1
87779 87896 1
83448 84538 1
72179 75650 3
81459 87003 1
62431 68693 1
29493 44116 3
54536 67491 3
60778 78791 2
2479 13861 2
70451 70597 1
44471 59159 1
30546 59134 3
21124 56911 2
28912 41838 1
26611 53904 3
61845 79257 3
26175 45550 3
47048 70418 3
38765 63231 2
19310 47652 1
4128 42983 3
76346 81931 1
21346 56691 3
68802 83420 3
85925 87080 3
14030 36814 1
7483 52949 2
54172 76229 2
16063 38696 3
15849 63697 3
55835 84502 2
51106 84989 2
32807 42793 3
64603 75954 3
63127 71024 2
27754 51746 2
42013 67504 3
46296 60008 3
85515 87279 1
42772 85066 3
27853 32337 3
54498 55394 2
19899 47990 1
84603 86557 1
61120 63315 3
80046 81609 2
62148 69309 2
78211 86545 2
67858 83944 2
52115 74026 3
59326 84185 2
7979 37442 3
66574 69303 1
37101 85880 2
26917 33877 1
56374 68562 2
26909 82553 3
65104 65508 1
11660 50891 1
54238 73783 2
28361 37458 1
79956 86025 3
54566 80108 2
66764 72577 1
4111 51454 2
80203 88079 2
21819 28345 3
59755 69064 3
5247 86404 3
19843 58851 3
31688 59581 3
87660 87946 1
79488 81205 1
66355 83205 3
8753 20554 3
28995 79106 2
72156 83156 1
67673 85662 2
32766 66601 3
78586 83411 2
38097 43373 3
78155 84627 2
59964 80538 2
1553 16378 2
72695 85447 2
63902 76259 3
65009 67290 3
54004 77855 1
58296 80502 3
29240 32708 1
64987 76707 1
39377 62730 3
60282 66605 2
27776 62804 1
1328 84968 1
38967 84932 1
44270 80455 3
38940 62351 3
21907 68420 1
13077 55792 1
87281 87984 1
138 62828 3
85886 87438 2
51423 81486 1
23520 44430 3
2773 27610 3
86963 87836 3
67817 80371 1
34011 43298 2
46246 88006 3
78969 81336 2
86085 86152 1
53366 54262 1
462 38883 3
53827 85539 3
68509 73545 3
44420 82235 2
84877 87968 2
42688 84178 2
16228 42816 1
24174 71963 1
597 16575 1
53740 85038 3
63361 86839 3
68033 82564 1
87509 87598 1
45227 83119 3
87780 87849 2
42301 71389 3
71666 84685 3
76342 80607 2
45044 87621 2
48757 55608 1
29378 47045 3
28250 78738 3
618 29191 2
31118 82836 3
56964 59658 2
30875 78227 3
50564 71814 1
17264 59818 3
8033 28914 2
13104 61029 3
79739 84024 3
26863 76261 3
72795 85296 3
49763 61504 2
54794 73840 3
85396 86617 1
86708 87977 3
6386 69475 1
30401 40536 1
1476 10317 3
12417 15226 1
69031 84820 1
6284 67293 3
23478 45348 1
62452 83256 2
38786 51826 2
12789 20297 2
10651 20787 2
64048 76057 2
14817 19874 1
77266 77727 1
37400 58420 1
44438 81250 1
10808 36502 1
16454 38420 2
68042 84784 1
44341 79066 3
81241 81732 2
9121 36057 1
61508 76436 2
22049 24216 2
75371 83878 1
67373 75858 1
2793 49320 1
26068 81931 1
65782 83388 2
10686 23583 1
31426 50618 3
65873 74053 2
30037 86136 2
67256 78373 2
33130 60795 1
79906 86299 3
64206 84565 1
6776 47216 1
86646 87391 3
26608 54275 3
83306 87762 1
80400 81457 3
81518 84698 3
55886 61104 1
66881 79371 3
33809 65624 2
69131 81120 3
25044 36161 2
30332 64620 2
20565 59890 1
32555 69759 1
43982 50345 2
4217 60257 2
17861 31573 2
53233 63789 1
58618 70232 2
63729 66599 2
77060 86441 2
71480 73469 1
74919 86476 1
18137 26972 3
19832 72947 2
15865 48522 2
17274 71438 3
70021 84055 2
35950 70402 2
63378 67362 2
11459 44206 1
85930 87211 3
33956 51424 3
56157 63664 3
56882 59620 2
1920 49713 2
65526 83819 1
44973 81739 3
87830 87984 3
40208 80226 3
79545 82799 1
44723 72153 3
24867 66260 3
21589 57789 2
24745 61463 2
51300 85257 1
77088 85175 2
72704 79516 3
39643 55493 1
32589 78533 2
83952 86440 3
17138 87569 3
24622 35052 3
83744 84768 1
76028 85671 2
30198 86334 3
18157 37225 2
39881 74899 2
39249 74125 3
26153 52365 2
81664 87585 2
8167 71021 3
87116 87531 1
64742 84045 1
24015 52484 1
86996 87475 2
3552 17950 2
5360 65144 1
7566 21067 1
19790 27238 3
60151 70744 3
53544 58597 1
13042 35848 1
47180 78552 3
36943 50585 3
83523 84846 2
68189 79221 2
55185 80815 2
33267 67843 1
75785 81793 3
23503 87283 2
24703 40583 2
32068 49314 1
45585 73312 2
15692 71246 3
78031 82472 2
80710 87870 1
15637 61650 3
33137 74667 3
34049 81709 1
63133 86659 2
8978 39725 3
2510 8789 3
57474 86218 3
64054 67716 2
31661 87866 2
37940 87465 2
55017 84402 3
56272 85301 2
57621 61405 2
77246 87062 1
39562 80447 1
37207 64400 1
53150 76934 1
86085 87347 2
57166 69011 3
59216 68463 1
56365 66383 2
16885 51310 2
72980 77797 3
39303 83822 3
7085 21958 3
65503 73070 1
26493 40292 1
16918 18910 2
6541 86057 3
74451 75887 2
30921 77820 1
30457 79885 2
76874 77735 2
18086 70035 3
64199 84103 2
40772 65393 3
76794 83691 2
36474 61035 3
9613 64784 3
62495 86980 2
16655 79204 1
86982 87177 2
87212 88058 2
36603 37419 2
78925 84198 3
11073 67664 2
24821 74492 1
73092 75360 2
29626 40188 1
62471 73461 1
61716 71313 3
11573 49859 1
12529 16589 1
13172 48440 1
6798 26985 1
82336 86169 2
65256 80895 1
62169 79616 3
54983 84369 1
80028 84035 1
83426 85278 2
73570 87426 3
38157 58456 3
18683 48036 2
17344 71852 1
86482 86526 1
65926 73728 2
23071 41516 3
36859 38813 1
11655 20134 2
32479 77857 2
33595 60164 2
69337 71105 2
66666 80623 1
82993 86810 1
86012 86170 1
35563 75841 1
19028 72946 3
1738 59544 1
87739 87995 1
17963 73363 1
81671 88071 3
16724 18996 1
26315 76518 3
84970 86204 1
3533 4047 3
64592 86553 3
15943 77899 2
70756 86595 3
4468 47893 1
80846 81119 2
14914 23008 2
85105 87826 2
25746 42662 1
19632 65125 1
19137 51722 3
4182 13572 1
41690 55025 2
76216 85059 1
31031 31760 1
67100 72022 2
8056 33236 2
28511 31044 1
5592 12189 2
83204 85849 3
63778 70190 1
62418 62555 1
83712 84718 2
11746 40677 1
49992 76561 3
68511 86932 2
81136 86857 1
60375 73618 2
53534 58887 3
5431 68210 3
15459 23431 2
12927 23886 2
42715 82558 1
11242 49828 2
63800 79904 3
84070 88078 3
62542 85916 3
7298 83275 3
15950 32012 1
45916 81165 1
76641 83173 1
45511 49440 2
76924 77145 2
78504 85626 1
4352 37566 3
31001 71702 2
65953 74470 3
85688 87564 2
37077 55553 3
867 5688 3
55082 66934 3
14638 66756 1
13403 35888 3
38283 45662 2
58859 60706 3
82375 85634 2
79262 83093 1
45132 85648 3
69179 79669 2
15669 17034 1
87846 87859 3
47633 61798 3
87752 87953 2
23641 52375 3
70918 84949 3
21635 74315 1
62212 77292 3
58898 68884 2
82213 82820 3
18394 60853 1
44970 46048 1
59208 84523 2
86470 87648 1
58788 69291 1
82940 83463 2
77675 78833 2
77736 84050 1
42239 65989 3
5404 28383 1
1160 34323 3
47801 84099 3
68243 79062 2
55094 80974 1
59598 81193 2
39615 81751 1
85059 85699 2
75078 83688 2
8913 26393 1
87360 87950 2
39104 50654 3
32326 80933 2
28749 80401 2
33254 72211 1
75866 85641 2
22756 60948 2
17197 32043 2
64411 66017 2
73184 76276 2
15201 83627 2
32738 38021 3
11452 63650 2
35273 45387 2
7763 49199 1
40804 80798 2
71048 82636 3
17202 78600 3
21133 62418 1
46324 80971 2
13770 85411 3
43836 50204 3
19874 28077 1
40476 49099 1
65100 82328 2
36312 57567 1
9206 85107 2
19395 20867 3
30800 79808 3
57408 83373 3
16908 75416 3
29579 31747 3
23305 39624 1
10985 32753 3
34957 48020 2
61281 84128 3
75941 84817 2
2051 65650 2
43445 61231 2
50100 53179 3
77510 82423 3
46252 60919 2
4868 22368 1
63984 66554 3
35200 70707 1
57065 70243 3
42964 75232 2
65998 74805 2
64195 76962 3
35920 80244 3
85816 87099 1
32942 39600 2
68287 70835 2
15759 19932 2
40538 43831 2
83137 83552 3
76610 77945 2
40833 76218 2
35543 58741 1
84436 87690 2
4854 4971 3
72360 83863 2
77983 80760 3
29081 41269 2
49436 86031 2
33139 81714 1
55256 86223 3
16023 24973 2
4811 40762 3
68493 69187 3
16059 18141 2
87898 88042 2
35242 86797 3
13106 84214 2
65974 68109 2
55922 58458 3
87554 87934 3
15433 37063 1
5749 29928 2
11252 60886 3
28858 68914 3
33617 41372 2
55472 86470 3
55370 77563 1
24832 54561 2
51822 53354 2
67902 80101 3
8669 68633 3
17315 38811 3
65582 83622 1
36393 44466 1
84674 86327 3
2440 73386 2
55431 69197 3
66214 83210 3
51527 60452 3
55038 75150 2
5502 22072 3
36538 72310 2
45454 52467 2
78402 78518 3
49351 65426 1
61971 64357 2
77997 78485 3
49278 52010 3
85667 85884 3
40050 61366 3
12174 69207 1
84902 87173 2
37636 75010 2
8744 17232 1
9813 68575 3
33575 85924 1
80307 81034 2
5314 15777 1
84373 87377 3
63088 79873 3
56301 58823 1
8959 62001 3
35997 55795 1
41611 64304 2
1330 43862 1
78942 84663 1
6290 18312 3
56964 76787 2
56737 58351 1
77586 83161 2
63879 76973 3
30289 72904 1
35169 55990 3
7150 11707 3
35172 38080 2
32129 46703 3
66783 84480 3
76633 79640 3
43642 77128 2
34406 42968 2
57860 59146 2
47186 66565 1
3749 70966 1
70590 85540 3
7304 83572 3
8662 78189 3
35713 65159 2
79439 81062 1
84292 84464 2
59186 83862 1
59466 76304 2
11978 23030 1
28919 43567 1
69798 74876 1
39217 78642 2
55762 87660 1
46512 62865 1
13254 79089 2
53139 70055 2
53093 86037 3
34948 77199 1
75005 84166 1
70287 74404 3
47533 56057 2
17947 21320 2
4831 65948 2
25231 64393 1
84490 86570 2
24118 73766 1
65223 78205 2
26790 75326 2
58246 80202 1
43160 85430 1
76153 82490 1
63597 75766 1
58726 62258 2
31239 62871 1
2017 26485 3
17157 59822 3
65436 86157 2
661 18171 1
86333 87874 3
43795 67561 3
7843 80488 2
60444 62987 3
70235 72490 3
50509 58282 1
975 67756 1
75417 75715 2
85438 86520 2
83302 86791 2
11153 62007 1
63524 81186 2
19305 61498 1
11484 36469 2
87803 87811 1
8529 78034 3
42987 85595 2
38921 44565 1
1080 19501 1
65182 82463 1
86892 87565 1
25427 68832 2
54751 87820 2
42880 69796 1
5569 67439 2
17862 53699 3
44678 58052 3
47527 78931 1
28067 51777 2
28369 41033 1
15763 58762 3
18162 30113 1
31588 62990 2
24230 77487 2
10558 11836 2
65174 67917 1
87100 87688 3
19417 66471 3
3239 40846 1
45388 63484 2
73842 80846 1
67603 70066 1
25965 49852 1
58920 61705 2
45189 46832 2
82187 84272 3
75856 81007 1
61344 73760 3
34515 87123 3
53488 73247 1
5197 73469 3
19703 40267 1
45412 63186 2
45569 61675 1
48734 67029 1
61960 67946 2
8175 74902 2
66359 76664 1
52456 63890 1
15174 26482 1
2509 47435 1
66140 68817 2
62985 81090 1
57621 59086 2
66551 85301 1
4434 5099 2
87198 87707 3
49173 54384 2
77828 78298 3
39098 67050 1
34175 35528 2
59960 83940 3
56889 80192 3
12773 59862 1
1806 38331 2
74469 79319 2
55359 56804 2
20878 55024 2
11618 67380 3
16774 65463 3
54494 66417 2
51370 51478 3
11777 39670 3
43251 62210 1
65590 69382 3
61217 85337 2
34260 86911 1
62982 69056 1
51915 56469 3
5724 65836 1
77085 81502 1
24480 51461 1
35036 83900 1
49026 50135 1
42432 62319 3
39535 69725 3
71585 72560 3
26691 70285 2
41952 84390 3
59625 73529 3
35781 45570 3
35830 60449 1
84686 84816 3
62599 64349 3
17135 43238 3
27791 59573 1
31146 40576 3
81120 88066 1
43170 68761 3
13324 66186 2
3447 42935 3
35863 41057 2
50724 76383 3
54488 83876 2
82593 87852 1
35449 73659 2
64879 65456 2
81738 86401 1
73943 81567 3
84461 85114 3
70265 81720 1
21463 68088 1
75782 77259 2
61853 70479 3
31396 63979 1
48157 52050 3
1103 62217 1
8921 10828 2
33759 48936 1
758 44255 1
22801 62599 3
82452 85645 1
21322 74017 3
59282 72988 3
6916 69889 1
31152 41188 3
17761 58500 1
24069 35533 3
31933 52745 2
60010 63339 3
74151 84606 1
85297 86238 3
68826 81772 3
80980 83827 2
84961 86633 2
77625 81508 3
65849 71913 1
30646 30847 2
52022 62747 3
50196 65581 2
42472 72959 3
60225 75823 3
58356 79862 3
18284 53776 1
52154 67201 1
24516 87599 3
30700 57131 2
17950 43825 2
17300 84616 1
56838 76235 1
87643 87836 3
7258 62114 3
80260 82506 3
56241 57161 1
73814 78770 1
7115 7395 3
54374 82480 3
33745 62492 1
2578 22418 2
74311 85086 1
36285 63620 3
62821 81162 3
46053 76940 2
65681 80675 3
24598 29281 1
59036 71759 3
80553 86578 3
30165 30683 3
84369 88019 3
78072 82687 2
9960 87989 2
58874 64775 2
63587 70942 3
16449 79700 2
51456 85767 1
57768 81474 1
86596 87507 1
47178 71846 3
45795 65897 1
54149 76618 1
79125 83425 1
83031 87196 1
38954 67182 3
68059 68451 1
23372 26959 3
86253 86452 1
28469 29289 2
68244 84030 2
80995 82601 2
16964 43548 2
7890 72470 1
11500 67404 3
50033 71123 2
53739 75571 1
46521 60763 1
21739 23355 3
10307 75296 1
10826 46102 1
24301 29473 1
59984 67610 1
20194 75482 1
35318 82224 3
67396 70702 1
32320 32470 1
72362 86492 3
9063 36953 2
49975 77334 2
46351 50267 1
83930 86297 2
16115 44486 1
73560 87182 2
85783 87556 1
66590 76348 3
10616 70324 3
80944 87054 2
58868 63905 3
41185 67918 1
73917 83545 1
9700 20481 2
45876 84733 1
24868 53482 3
10994 31050 2
60982 74142 1
2066 14493 1
18710 79688 3
75971 84120 2
20230 42161 1
10240 32277 3
71329 78518 3
56934 78424 3
53697 62724 3
39060 87139 3
73826 78342 3
53612 59121 3
46071 58786 2
66811 79564 2
68173 70542 2
52802 71685 2
22385 42372 2
20242 26521 2
21107 27971 1
76358 85910 3
34006 64462 3
11794 45344 2
20683 37125 1
17994 61138 2
32732 74815 2
53403 73046 2
23037 45194 1
62011 87513 2
54865 61809 2
33897 54275 3
19141 28252 3
75210 78944 2
1477 42630 1
53916 58618 1
14448 56929 1
85917 86434 3
65881 76471 3
25926 38770 2
48570 67094 1
62870 85149 1
18189 60010 1
86732 86925 3
33454 87231 3
73969 87588 2
39916 54942 3
51605 75008 2
44816 48142 1
12439 53045 3
61039 68252 1
84679 87926 1
11934 62753 1
22673 73588 1
82908 84052 1
78598 84005 2
66381 69009 1
40840 45715 3
23242 44713 3
22019 50252 2
52360 70260 2
4797 46476 3
66897 71080 3
8831 42821 3
27696 38273 3
18858 86213 3
69083 81071 3
10886 48670 2
80600 87584 1
75694 82906 2
55868 77484 3
77172 87489 2
83625 87674 2
65043 84650 2
70967 71121 3
10017 24913 1
6887 49507 1
76143 84503 1
64562 67779 1
10238 61959 2
75915 81851 2
83340 87593 1
58591 82859 2
34784 65437 3
40171 74157 1
42953 83499 2
15190 34570 1
59571 61795 1
58645 67785 2
8582 53569 1
2647 51830 1
46097 55486 3
1653 51168 2
36813 46193 1
84551 85080 2
70842 86961 1
70214 85846 2
59357 81866 2
71012 78703 3
40438 69138 2
23525 45973 3
28211 49981 2
37718 84811 2
79432 80372 1
60468 60788 3
79081 87796 2
35997 78796 1
16159 64165 1
83955 86914 3
73006 79068 1
47077 80223 2
67799 75090 1
14222 27986 3
82014 86095 1
55222 79797 2
68699 69839 1
70074 74341 2
83255 85690 1
42567 53637 1
49466 59786 2
66643 69525 2
20604 29688 3
80880 84768 2
62539 69966 1
78605 83386 2
35190 76672 1
74721 75763 1
54526 74040 3
55367 63563 3
9919 72267 3
21526 84273 2
85052 86855 1
82975 85736 1
378 80542 3
66479 87238 3
86388 86442 3
9085 51595 2
56256 68173 2
63052 63543 2
38964 72901 2
58924 70537 1
76180 87478 1
49694 74978 3
31484 76961 2
51724 62174 3
49260 49619 1
86083 86318 3
13005 13115 2
76214 77501 3
40746 49903 2
27144 35647 1
42595 77125 2
8827 12613 3
21434 86519 1
70331 77202 1
44586 78519 3
4558 13287 3
39404 60595 2
86289 86479 3
37191 86910 1
12232 46229 1
8260 9063 1
69597 86278 2
54684 83001 1
15553 63331 3
56049 62439 2
13683 66291 3
24809 75218 1
58992 83763 3
83230 87133 2
74814 85525 3
60518 66683 2
87336 87492 1
28597 76309 1
63035 74844 3
63851 73104 2
81475 87564 1
81520 83591 2
32393 60427 2
48495 50107 3
20019 44701 1
29414 67012 2
20298 74790 3
24479 78201 1
44402 67302 2
68786 86379 1
7272 64596 3
82764 83666 3
53599 57911 3
8587 61283 3
37116 37237 3
46279 65965 1
57625 57864 1
74748 81429 2
3238 51800 1
75229 83116 1
41809 43246 3
72496 78763 2
59561 85639 1
54842 75214 3
74768 83802 3
56156 76647 3
72844 78329 1
16519 33394 1
72150 79082 3
18131 24091 1
19868 64371 1
30466 30993 2
86423 87819 3
19912 29970 2
79867 83755 2
48395 77790 2
27877 85500 2
41390 81214 2
40773 70141 2
37254 41320 2
25384 36937 1
81516 84516 1
17865 48147 3
70019 74853 1
208 4296 1
50608 78507 3
25011 50242 1
70502 74677 3
6775 61506 2
51503 84331 1
65621 87751 1
27362 78899 1
85543 86730 2
47624 79550 2
83591 84988 3
29943 83950 2
16144 63262 1
59338 62871 1
56251 72654 3
39974 58179 2
65529 73457 2
62590 85555 2
80178 83837 2
22558 82713 2
60108 79570 2
22313 52258 3
3045 78847 2
83041 84724 2
21022 87708 1
57375 64530 3
79263 87609 3
42049 42963 1
28635 44568 3
37705 67466 3
11266 56481 1
3805 33899 2
13462 36436 3
14662 51078 1
2510 9373 1
21641 61906 1
49545 51201 1
84083 84843 3
7372 69506 3
23771 80293 2
82843 86314 2
4673 46390 2
10571 64219 2
54971 76730 1
58127 72726 2
799 10847 1
18742 32192 2
78121 82586 3
51306 55824 2
49523 76472 2
32563 74281 2
56105 71685 3
72846 83087 1
33003 64130 1
74616 75296 2
48431 71812 2
58572 62048 1
8893 72977 2
6228 17880 1
12039 41713 1
66359 85756 2
13258 42572 3
11776 62241 2
612 38117 3
40504 81006 2
35797 53150 1
54162 57234 1
1624 4291 2
46443 46991 3
47505 65352 3
42705 67470 1
34774 69402 1
85633 86342 3
34878 56522 2
65108 65723 3
78652 80997 1
55815 80349 1
70428 75911 1
45479 74449 2
80121 85622 1
71140 83272 2
34056 57566 1
23446 83450 1
67409 73379 1
55052 62598 1
75172 80056 1
31878 63519 2
45748 54511 1
1499 26562 2
77459 84853 1
44503 55913 3
58562 62877 2
31439 41727 2
76992 87213 3
60947 84142 3
28531 85484 1
16668 60922 3
7802 12246 3
13001 57386 1
42977 43118 3
68506 77204 2
80216 82231 2
84638 86767 2
21056 39860 2
35530 76709 3
63855 78763 2
47070 85713 1
30385 78042 1
32881 36890 2
25611 25872 3
23214 73352 2
64021 80774 3
83141 85670 3
13112 82755 2
22952 40737 1
70450 82032 2
34782 50598 1
50186 50934 1
47574 60454 1
52032 67692 2
61406 63221 1
8708 86141 2
64933 68063 2
33805 78248 1
52390 81561 3
13578 58159 2
86106 87158 3
76893 81518 3
43807 75155 2
67367 87995 3
13494 57416 1
19563 52637 3
48082 60813 1
11199 23772 3
9645 15023 1
836 15632 1
56789 77493 3
51252 64926 1
8919 15436 1
49482 71667 1
40970 53817 1
13885 66390 2
16169 23125 1
84710 85425 1
23758 44339 2
87054 87755 1
31969 50015 2
15011 28919 1
30933 33596 3
45229 48020 3
64749 79566 3
19684 85870 3
28317 45800 3
77614 84200 3
38011 69215 2
44494 56660 3
32676 62605 1
2231 9534 2
61274 80799 3
79889 84222 1
31303 60559 1
63055 86790 3
14932 75503 1
1523 54413 3
38935 73401 1
28432 37601 3
70989 83036 2
49339 52153 3
39470 50516 2
47904 51517 2
65210 83930 3
51843 63371 2
21364 73185 2
39090 61661 2
41388 84947 2
81492 86662 1
50121 60705 3
22897 72945 1
58787 68052 1
33204 60755 1
70438 84226 3
79821 85358 2
51134 53874 2
